Base DataSet,Model Method,Parameters,Mean Squared Error,R Squared
"Jul IntMnt Ref Test Scaled features selected via PCA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",9053.564404427485,0.7466633066769669
"Jul IntMnt Dry Test features selected via Variance Threshold .1, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",9272.03400775715,0.7405500937558697
"Jul IntMnt Dry Test, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",9281.5349153585,0.7402842395124165
"Jul IntMnt Dry Test Scaled, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",9281.53491535851,0.7402842395124162
"Jul IntMnt Dry Test features selected via ICA n50, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': False}",9397.610629434266,0.7370362107509838
"Jul IntMnt Dry Test features selected via PCA n50, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",9397.610629434268,0.7370362107509837
"Jul IntMnt Dry Test Scaled features selected via PCA n50, Test Score",Ridge Regression,"{'alpha': 1.0, 'normalize': False}",9425.457031885497,0.7362570131661643
"Jul IntMnt Dry Test Scaled features selected via ICA n50, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': False}",9437.83927452644,0.7359105334520479
"Jul IntMnt Ref Test, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",9479.38232192366,0.7347480765689858
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",Averaging Ensemble,"{'weights': [0.18425060629944251, 0.5411073296418506, 0.47283832390139918], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 10, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",9985.620659668815,0.7205825235570704
"Jul IntMnt Dry Test features selected via ICA n50, Test Score",Averaging Ensemble,"{'weights': [0.64253881362087961, 0.48361317595942599, 0.6534041348882349], 'predictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': False}, Random Forest {'n_estimators': 20, 'random_state': 47392, 'max_features': 10}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 2}]}",10133.569339626993,0.7164426259777499
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",Random Forest,"{'n_estimators': 10, 'random_state': 47392, 'max_features': 'sqrt'}",10338.13566984408,0.7107184542209244
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",Stacking Ensemble,"{'stackingPredictorConfiguration': Random Forest {'n_estimators': 10, 'random_state': 47392, 'max_features': None}, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 10, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",10341.059783992092,0.7106366317059385
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",Stacking OF Ensemble,"{'stackingPredictorConfiguration': Random Forest {'n_estimators': 10, 'random_state': 47392, 'max_features': None}, 'includeOriginalFeatures': True, 'basePredictorConfigurations': [Ridge Regression {'alpha': 0.1, 'normalize': True}, Random Forest {'n_estimators': 10, 'random_state': 47392, 'max_features': 'sqrt'}, K Nearest Neighbors {'metric': 'minkowski', 'n_neighbors': 5}]}",10341.059783992094,0.7106366317059385
"Jul IntMnt Dry Test Scaled features selected via ICA n50, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 2}",10452.469121755725,0.7075191774113023
"Jul IntMnt Dry Test Scaled features selected via Variance Threshold .1, Test Score",K Nearest Neighbors,"{'metric': 'minkowski', 'n_neighbors': 5}",10734.601850473282,0.6996245439411348
"Jul IntMnt Dry Test features selected via PCA n20, Test Score",Ridge Regression,"{'alpha': 0.1, 'normalize': True}",10773.024052811457,0.6985494144942419
