STAID,ID,Month,Year,qmeas,0,1,2,3,4,5,6,7,8,9
T11281000,T11281000,7,1989,6.57,-403.22013139257245,176.2935818199439,-501.2788214255798,157.67979811716825,84.55944718653234,54.915486651594264,-117.63381510238173,21.82708976753939,54.044495967221536,19.652640310168664
T11315000,T11315000,7,1996,6.08,-266.51823143370376,-248.83454609008191,546.2501950242624,76.3872262158306,62.31616828692653,32.15959223387799,71.62321314382709,-35.561009243058145,18.934745615477794,-206.53606631652164
T10308200,T10308200,7,2003,198.87,608.2215596163975,62.66405349914228,-459.5506370582462,-383.28855446875474,-244.05631040299752,114.51465709963546,-64.42859923649226,39.41781976967123,-76.95248993422354,-92.83256898907834
T11427700,T11427700,7,1994,1.02,-464.43390058754767,-11.715103470780411,-16.265399630913844,551.9192158912466,-207.2326326683977,-245.81159631498062,81.21173720854938,33.46764661450206,-14.68921956971856,-80.56916263216351
T10336600,T10336600,7,1968,15.06,395.14252035073775,391.30297628104944,25.789955001521236,-115.62623363206022,-229.06047598897078,-188.68604764563315,72.7524019812185,-72.48928974265094,15.947767990415482,21.84389770087645
T11283500,T11283500,7,1994,11.61,-304.91971614587646,5.596861748184349,-455.9138319047906,118.21856692099651,111.36266538427266,-102.38763698106105,-10.05122747633042,23.028738991340557,-125.54098116555681,-69.24941523442182
T11292500,T11292500,7,1992,41.45,304.436359947244,84.6955215882017,-70.94085380870952,418.9547566567807,38.938481897768,-84.01896717822434,-59.93095797695259,81.15223229502053,-225.28619305138076,40.48871123502461
T11292500,T11292500,7,1976,30.81,355.86714153433525,140.02899382466535,-161.39051830215718,479.64190183751134,40.434957553327685,-145.1608084634009,-67.1115022565947,45.43268989753705,-262.06731922016144,64.71965484421096
T10291500,T10291500,7,2001,31.84,833.9938941285501,474.8351510835375,25.389503017514077,-174.38235510041687,11.596909369477505,-102.60652565775122,23.249205201029625,-2.3044327310856576,-67.78727059901424,5.589743988461463
T10336645,T10336645,7,1985,1.12,104.35345542839445,484.60126009795476,-80.49535540215959,-80.63265654477927,-362.8394252055202,-240.046701202768,-135.62472740265673,64.69957309618383,48.644213124538744,169.57087629854595
T11427700,T11427700,7,1997,2.88,-690.7552294140945,-310.8104358599355,432.15228624690207,333.0462808306123,-472.50682480867266,600.8833511560497,364.2910957328756,-53.280444171347256,30.726552683175548,25.464667180833185
T10281800,T10281800,7,1972,7.35,1179.3908843153267,741.9551598409554,-194.35836510916744,18.566848205429157,9.490113919772602,123.02719400217225,60.91411017722492,17.865690357224654,13.058949240602908,-27.61955631720739
T11226500,T11226500,7,1954,433.81,638.6256664548621,-358.46474685599105,-63.27436466809076,93.66212416316127,165.8079839479484,-10.861284414967896,-35.985088529383845,39.10728061555121,-91.25807361374935,61.30356177793042
T11230500,T11230500,7,1998,684.13,819.5296234336199,-240.7903978331248,763.2487244465864,66.03246346323083,487.7354584567455,18.59924202188541,-43.01844247513904,104.44313347668282,2.91379928611567,-96.09802039266704
T11230500,T11230500,7,1994,50.19,1017.2498632344807,54.232371435298376,273.8589086992775,406.83963466972136,265.5354656558744,-3.6849906835065513,-24.837260517491167,101.49234935724854,-9.355964037113015,-48.82291997531858
T11237500,T11237500,7,2011,109.39,68.19827288870961,-20.813570212805296,343.02108176329637,98.98221809115549,97.26794090032298,302.8344165849836,-210.00358156206914,167.30664505163628,-63.90659435819774,-171.70189319217315
T11214000,T11214000,7,1968,12.94,909.6982644003288,135.8836232675741,155.54228236056144,495.4262723519466,62.18336824648691,24.916366389162118,9.653439752631467,-9.732345044872961,77.248400131146,7.456694543827517
T11427700,T11427700,7,1987,1.04,-483.396378767241,-41.881767162945664,30.326851811555777,477.3537870262262,-60.596040737984914,-357.00109207483064,27.16694654874014,-136.85627447983953,10.350456210111343,-21.066684373334276
T11220000,T11220000,7,1956,15.97,-766.4075657048006,306.20699937559533,-660.5946299813215,-95.30604625988872,43.066266411675954,520.6528163980283,117.65176791837928,-14.761497861680422,155.8845303925757,-217.23846944073614
T11257100,T11257100,7,1972,0.56,-531.1517634672975,507.3585378675901,-704.4043680112501,227.93036549306063,71.350732010545,179.36600006989732,25.295038572382293,-3.5518749488135457,16.609820598843076,-63.34435097201956
